Cohort Year,Division Number,Division Name,Type of Graduation Rate,Rate Type,Graduation Rate
2014,1,Accomack County,On-Time Graduation Rate,4 yr rate,    90.12%
2014,2,Albemarle County,On-Time Graduation Rate,4 yr rate,    94.91%
2014,101,Alexandria City,On-Time Graduation Rate,4 yr rate,    84.31%
2014,3,Alleghany County,On-Time Graduation Rate,4 yr rate,    87.16%
2014,4,Amelia County,On-Time Graduation Rate,4 yr rate,    93.89%
2014,5,Amherst County,On-Time Graduation Rate,4 yr rate,    88.71%
2014,6,Appomattox County,On-Time Graduation Rate,4 yr rate,    91.40%
2014,7,Arlington County,On-Time Graduation Rate,4 yr rate,    90.21%
2014,8,Augusta County,On-Time Graduation Rate,4 yr rate,    93.00%
2014,9,Bath County,On-Time Graduation Rate,4 yr rate,    87.27%
2014,10,Bedford County,On-Time Graduation Rate,4 yr rate,    87.31%
2014,11,Bland County,On-Time Graduation Rate,4 yr rate,    88.46%
2014,12,Botetourt County,On-Time Graduation Rate,4 yr rate,    93.95%
2014,102,Bristol City,On-Time Graduation Rate,4 yr rate,    86.67%
2014,13,Brunswick County,On-Time Graduation Rate,4 yr rate,    84.43%
2014,14,Buchanan County,On-Time Graduation Rate,4 yr rate,    88.08%
2014,15,Buckingham County,On-Time Graduation Rate,4 yr rate,    92.62%
2014,103,Buena Vista City,On-Time Graduation Rate,4 yr rate,    85.23%
2014,16,Campbell County,On-Time Graduation Rate,4 yr rate,    87.01%
2014,17,Caroline County,On-Time Graduation Rate,4 yr rate,    87.13%
2014,18,Carroll County,On-Time Graduation Rate,4 yr rate,    91.56%
2014,19,Charles City County,On-Time Graduation Rate,4 yr rate,    95.74%
2014,20,Charlotte County,On-Time Graduation Rate,4 yr rate,    92.07%
2014,104,Charlottesville City,On-Time Graduation Rate,4 yr rate,    88.50%
2014,136,Chesapeake City,On-Time Graduation Rate,4 yr rate,    92.93%
2014,21,Chesterfield County,On-Time Graduation Rate,4 yr rate,    91.46%
2014,22,Clarke County,On-Time Graduation Rate,4 yr rate,   100.00%
2014,202,Colonial Beach,On-Time Graduation Rate,4 yr rate,    89.66%
2014,106,Colonial Heights City,On-Time Graduation Rate,4 yr rate,    94.83%
2014,107,Covington City,On-Time Graduation Rate,4 yr rate,    79.73%
2014,23,Craig County,On-Time Graduation Rate,4 yr rate,    89.09%
2014,24,Culpeper County,On-Time Graduation Rate,4 yr rate,    91.97%
2014,25,Cumberland County,On-Time Graduation Rate,4 yr rate,    91.23%
2014,108,Danville City,On-Time Graduation Rate,4 yr rate,    75.74%
2014,26,Dickenson County,On-Time Graduation Rate,4 yr rate,    88.77%
2014,27,Dinwiddie County,On-Time Graduation Rate,4 yr rate,    81.30%
2014,28,Essex County,On-Time Graduation Rate,4 yr rate,    84.92%
2014,29,Fairfax County,On-Time Graduation Rate,4 yr rate,    92.65%
2014,109,Falls Church City,On-Time Graduation Rate,4 yr rate,    98.40%
2014,30,Fauquier County,On-Time Graduation Rate,4 yr rate,    95.13%
2014,31,Floyd County,On-Time Graduation Rate,4 yr rate,    91.62%
2014,32,Fluvanna County,On-Time Graduation Rate,4 yr rate,    91.88%
2014,135,Franklin City,On-Time Graduation Rate,4 yr rate,    84.44%
2014,33,Franklin County,On-Time Graduation Rate,4 yr rate,    86.89%
2014,34,Frederick County,On-Time Graduation Rate,4 yr rate,    90.28%
2014,110,Fredericksburg City,On-Time Graduation Rate,4 yr rate,    83.19%
2014,111,Galax City,On-Time Graduation Rate,4 yr rate,    86.17%
2014,35,Giles County,On-Time Graduation Rate,4 yr rate,    82.69%
2014,36,Gloucester County,On-Time Graduation Rate,4 yr rate,    92.62%
2014,37,Goochland County,On-Time Graduation Rate,4 yr rate,    96.17%
2014,38,Grayson County,On-Time Graduation Rate,4 yr rate,    83.97%
2014,39,Greene County,On-Time Graduation Rate,4 yr rate,    91.98%
2014,40,Greensville County,On-Time Graduation Rate,4 yr rate,    85.71%
2014,41,Halifax County,On-Time Graduation Rate,4 yr rate,    88.52%
2014,112,Hampton City,On-Time Graduation Rate,4 yr rate,    83.81%
2014,42,Hanover County,On-Time Graduation Rate,4 yr rate,    96.20%
2014,113,Harrisonburg City,On-Time Graduation Rate,4 yr rate,    86.70%
2014,43,Henrico County,On-Time Graduation Rate,4 yr rate,    88.99%
2014,44,Henry County,On-Time Graduation Rate,4 yr rate,    87.99%
2014,45,Highland County,On-Time Graduation Rate,4 yr rate,    89.47%
2014,114,Hopewell City,On-Time Graduation Rate,4 yr rate,    79.51%
2014,46,Isle of Wight County,On-Time Graduation Rate,4 yr rate,    92.57%
2014,48,King George County,On-Time Graduation Rate,4 yr rate,    92.70%
2014,50,King William County,On-Time Graduation Rate,4 yr rate,    92.62%
2014,49,King and Queen County,On-Time Graduation Rate,4 yr rate,    86.27%
2014,51,Lancaster County,On-Time Graduation Rate,4 yr rate,    92.31%
2014,52,Lee County,On-Time Graduation Rate,4 yr rate,    87.02%
2014,53,Loudoun County,On-Time Graduation Rate,4 yr rate,    95.20%
2014,54,Louisa County,On-Time Graduation Rate,4 yr rate,    91.02%
2014,55,Lunenburg County,On-Time Graduation Rate,4 yr rate,    88.18%
2014,115,Lynchburg City,On-Time Graduation Rate,4 yr rate,    81.16%
2014,56,Madison County,On-Time Graduation Rate,4 yr rate,    94.64%
2014,143,Manassas City,On-Time Graduation Rate,4 yr rate,    86.27%
2014,144,Manassas Park City,On-Time Graduation Rate,4 yr rate,    87.50%
2014,116,Martinsville City,On-Time Graduation Rate,4 yr rate,    86.67%
2014,57,Mathews County,On-Time Graduation Rate,4 yr rate,    91.26%
2014,58,Mecklenburg County,On-Time Graduation Rate,4 yr rate,    92.47%
2014,59,Middlesex County,On-Time Graduation Rate,4 yr rate,    92.96%
2014,60,Montgomery County,On-Time Graduation Rate,4 yr rate,    86.40%
2014,62,Nelson County,On-Time Graduation Rate,4 yr rate,    87.33%
2014,63,New Kent County,On-Time Graduation Rate,4 yr rate,    90.65%
2014,117,Newport News City,On-Time Graduation Rate,4 yr rate,    87.93%
2014,118,Norfolk City,On-Time Graduation Rate,4 yr rate,    78.95%
2014,65,Northampton County,On-Time Graduation Rate,4 yr rate,    82.57%
2014,66,Northumberland County,On-Time Graduation Rate,4 yr rate,    86.99%
2014,119,Norton City,On-Time Graduation Rate,4 yr rate,    84.62%
2014,67,Nottoway County,On-Time Graduation Rate,4 yr rate,    87.71%
2014,68,Orange County,On-Time Graduation Rate,4 yr rate,    90.70%
2014,69,Page County,On-Time Graduation Rate,4 yr rate,    96.70%
2014,70,Patrick County,On-Time Graduation Rate,4 yr rate,    91.00%
2014,120,Petersburg City,On-Time Graduation Rate,4 yr rate,    82.35%
2014,71,Pittsylvania County,On-Time Graduation Rate,4 yr rate,    90.57%
2014,142,Poquoson City,On-Time Graduation Rate,4 yr rate,    96.37%
2014,121,Portsmouth City,On-Time Graduation Rate,4 yr rate,    85.09%
2014,72,Powhatan County,On-Time Graduation Rate,4 yr rate,    87.92%
2014,73,Prince Edward County,On-Time Graduation Rate,4 yr rate,    83.24%
2014,74,Prince George County,On-Time Graduation Rate,4 yr rate,    87.74%
2014,75,Prince William County,On-Time Graduation Rate,4 yr rate,    90.52%
2014,77,Pulaski County,On-Time Graduation Rate,4 yr rate,    88.62%
2014,122,Radford City,On-Time Graduation Rate,4 yr rate,    92.23%
2014,78,Rappahannock County,On-Time Graduation Rate,4 yr rate,    98.39%
2014,123,Richmond City,On-Time Graduation Rate,4 yr rate,    80.49%
2014,79,Richmond County,On-Time Graduation Rate,4 yr rate,    87.63%
2014,124,Roanoke City,On-Time Graduation Rate,4 yr rate,    83.41%
2014,80,Roanoke County,On-Time Graduation Rate,4 yr rate,    95.36%
2014,81,Rockbridge County,On-Time Graduation Rate,4 yr rate,    80.15%
2014,82,Rockingham County,On-Time Graduation Rate,4 yr rate,    94.19%
2014,83,Russell County,On-Time Graduation Rate,4 yr rate,    92.57%
2014,139,Salem City,On-Time Graduation Rate,4 yr rate,    90.79%
2014,84,Scott County,On-Time Graduation Rate,4 yr rate,    94.74%
2014,85,Shenandoah County,On-Time Graduation Rate,4 yr rate,    95.38%
2014,86,Smyth County,On-Time Graduation Rate,4 yr rate,    91.35%
2014,87,Southampton County,On-Time Graduation Rate,4 yr rate,    85.51%
2014,88,Spotsylvania County,On-Time Graduation Rate,4 yr rate,    88.92%
2014,89,Stafford County,On-Time Graduation Rate,4 yr rate,    90.59%
2014,126,Staunton City,On-Time Graduation Rate,4 yr rate,    90.00%
2014,127,Suffolk City,On-Time Graduation Rate,4 yr rate,    86.43%
2014,90,Surry County,On-Time Graduation Rate,4 yr rate,    92.86%
2014,91,Sussex County,On-Time Graduation Rate,4 yr rate,    84.88%
2014,92,Tazewell County,On-Time Graduation Rate,4 yr rate,    84.06%
2014,128,Virginia Beach City,On-Time Graduation Rate,4 yr rate,    88.49%
2014,93,Warren County,On-Time Graduation Rate,4 yr rate,    93.47%
2014,94,Washington County,On-Time Graduation Rate,4 yr rate,    93.00%
2014,130,Waynesboro City,On-Time Graduation Rate,4 yr rate,    92.89%
2014,207,West Point,On-Time Graduation Rate,4 yr rate,    97.37%
2014,95,Westmoreland County,On-Time Graduation Rate,4 yr rate,    80.91%
2014,131,Williamsburg-James City County,On-Time Graduation Rate,4 yr rate,    90.53%
2014,132,Winchester City,On-Time Graduation Rate,4 yr rate,    90.51%
2014,96,Wise County,On-Time Graduation Rate,4 yr rate,    91.45%
2014,97,Wythe County,On-Time Graduation Rate,4 yr rate,    87.38%
2014,98,York County,On-Time Graduation Rate,4 yr rate,    94.46%
2015,1,Accomack County,On-Time Graduation Rate,4 yr rate,    89.88%
2015,2,Albemarle County,On-Time Graduation Rate,4 yr rate,    94.38%
2015,101,Alexandria City,On-Time Graduation Rate,4 yr rate,    79.95%
2015,3,Alleghany County,On-Time Graduation Rate,4 yr rate,    88.74%
2015,4,Amelia County,On-Time Graduation Rate,4 yr rate,    93.79%
2015,5,Amherst County,On-Time Graduation Rate,4 yr rate,    89.25%
2015,6,Appomattox County,On-Time Graduation Rate,4 yr rate,    94.02%
2015,7,Arlington County,On-Time Graduation Rate,4 yr rate,    92.92%
2015,8,Augusta County,On-Time Graduation Rate,4 yr rate,    91.60%
2015,9,Bath County,On-Time Graduation Rate,4 yr rate,    89.13%
2015,10,Bedford County,On-Time Graduation Rate,4 yr rate,    88.74%
2015,11,Bland County,On-Time Graduation Rate,4 yr rate,    91.36%
2015,12,Botetourt County,On-Time Graduation Rate,4 yr rate,    96.02%
2015,102,Bristol City,On-Time Graduation Rate,4 yr rate,    88.62%
2015,13,Brunswick County,On-Time Graduation Rate,4 yr rate,    83.75%
2015,14,Buchanan County,On-Time Graduation Rate,4 yr rate,    92.54%
2015,15,Buckingham County,On-Time Graduation Rate,4 yr rate,    90.91%
2015,103,Buena Vista City,On-Time Graduation Rate,4 yr rate,    84.21%
2015,16,Campbell County,On-Time Graduation Rate,4 yr rate,    90.06%
2015,17,Caroline County,On-Time Graduation Rate,4 yr rate,    86.64%
2015,18,Carroll County,On-Time Graduation Rate,4 yr rate,    89.00%
2015,19,Charles City County,On-Time Graduation Rate,4 yr rate,    98.25%
2015,20,Charlotte County,On-Time Graduation Rate,4 yr rate,    85.23%
2015,104,Charlottesville City,On-Time Graduation Rate,4 yr rate,    84.92%
2015,136,Chesapeake City,On-Time Graduation Rate,4 yr rate,    93.03%
2015,21,Chesterfield County,On-Time Graduation Rate,4 yr rate,    91.05%
2015,22,Clarke County,On-Time Graduation Rate,4 yr rate,    97.59%
2015,202,Colonial Beach,On-Time Graduation Rate,4 yr rate,    92.86%
2015,106,Colonial Heights City,On-Time Graduation Rate,4 yr rate,    89.72%
2015,107,Covington City,On-Time Graduation Rate,4 yr rate,    81.67%
2015,23,Craig County,On-Time Graduation Rate,4 yr rate,    91.07%
2015,24,Culpeper County,On-Time Graduation Rate,4 yr rate,    92.38%
2015,25,Cumberland County,On-Time Graduation Rate,4 yr rate,    90.99%
2015,108,Danville City,On-Time Graduation Rate,4 yr rate,    79.05%
2015,26,Dickenson County,On-Time Graduation Rate,4 yr rate,    82.93%
2015,27,Dinwiddie County,On-Time Graduation Rate,4 yr rate,    81.66%
2015,28,Essex County,On-Time Graduation Rate,4 yr rate,    92.37%
2015,29,Fairfax County,On-Time Graduation Rate,4 yr rate,    92.55%
2015,109,Falls Church City,On-Time Graduation Rate,4 yr rate,    98.81%
2015,30,Fauquier County,On-Time Graduation Rate,4 yr rate,    94.05%
2015,31,Floyd County,On-Time Graduation Rate,4 yr rate,    92.59%
2015,32,Fluvanna County,On-Time Graduation Rate,4 yr rate,    92.81%
2015,135,Franklin City,On-Time Graduation Rate,4 yr rate,    82.28%
2015,33,Franklin County,On-Time Graduation Rate,4 yr rate,    87.97%
2015,34,Frederick County,On-Time Graduation Rate,4 yr rate,    93.27%
2015,110,Fredericksburg City,On-Time Graduation Rate,4 yr rate,    82.76%
2015,111,Galax City,On-Time Graduation Rate,4 yr rate,    91.26%
2015,35,Giles County,On-Time Graduation Rate,4 yr rate,    88.73%
2015,36,Gloucester County,On-Time Graduation Rate,4 yr rate,    93.73%
2015,37,Goochland County,On-Time Graduation Rate,4 yr rate,    94.12%
2015,38,Grayson County,On-Time Graduation Rate,4 yr rate,    90.13%
2015,39,Greene County,On-Time Graduation Rate,4 yr rate,    95.26%
2015,40,Greensville County,On-Time Graduation Rate,4 yr rate,    91.72%
2015,41,Halifax County,On-Time Graduation Rate,4 yr rate,    88.50%
2015,112,Hampton City,On-Time Graduation Rate,4 yr rate,    87.98%
2015,42,Hanover County,On-Time Graduation Rate,4 yr rate,    95.20%
2015,113,Harrisonburg City,On-Time Graduation Rate,4 yr rate,    89.47%
2015,43,Henrico County,On-Time Graduation Rate,4 yr rate,    90.14%
2015,44,Henry County,On-Time Graduation Rate,4 yr rate,    88.46%
2015,45,Highland County,On-Time Graduation Rate,4 yr rate,    91.67%
2015,114,Hopewell City,On-Time Graduation Rate,4 yr rate,    81.91%
2015,46,Isle of Wight County,On-Time Graduation Rate,4 yr rate,    92.01%
2015,48,King George County,On-Time Graduation Rate,4 yr rate,    95.58%
2015,50,King William County,On-Time Graduation Rate,4 yr rate,    90.74%
2015,49,King and Queen County,On-Time Graduation Rate,4 yr rate,    89.13%
2015,51,Lancaster County,On-Time Graduation Rate,4 yr rate,    90.24%
2015,52,Lee County,On-Time Graduation Rate,4 yr rate,    81.51%
2015,53,Loudoun County,On-Time Graduation Rate,4 yr rate,    95.97%
2015,54,Louisa County,On-Time Graduation Rate,4 yr rate,    90.38%
2015,55,Lunenburg County,On-Time Graduation Rate,4 yr rate,    88.57%
2015,115,Lynchburg City,On-Time Graduation Rate,4 yr rate,    82.30%
2015,56,Madison County,On-Time Graduation Rate,4 yr rate,    95.21%
2015,143,Manassas City,On-Time Graduation Rate,4 yr rate,    86.24%
2015,144,Manassas Park City,On-Time Graduation Rate,4 yr rate,    87.92%
2015,116,Martinsville City,On-Time Graduation Rate,4 yr rate,    80.89%
2015,57,Mathews County,On-Time Graduation Rate,4 yr rate,    92.98%
2015,58,Mecklenburg County,On-Time Graduation Rate,4 yr rate,    93.66%
2015,59,Middlesex County,On-Time Graduation Rate,4 yr rate,    94.74%
2015,60,Montgomery County,On-Time Graduation Rate,4 yr rate,    87.57%
2015,62,Nelson County,On-Time Graduation Rate,4 yr rate,    83.92%
2015,63,New Kent County,On-Time Graduation Rate,4 yr rate,    92.65%
2015,117,Newport News City,On-Time Graduation Rate,4 yr rate,    89.50%
2015,118,Norfolk City,On-Time Graduation Rate,4 yr rate,    80.65%
2015,65,Northampton County,On-Time Graduation Rate,4 yr rate,    84.38%
2015,66,Northumberland County,On-Time Graduation Rate,4 yr rate,    94.50%
2015,119,Norton City,On-Time Graduation Rate,4 yr rate,    94.83%
2015,67,Nottoway County,On-Time Graduation Rate,4 yr rate,    85.55%
2015,68,Orange County,On-Time Graduation Rate,4 yr rate,    90.73%
2015,69,Page County,On-Time Graduation Rate,4 yr rate,    98.18%
2015,70,Patrick County,On-Time Graduation Rate,4 yr rate,    90.91%
2015,120,Petersburg City,On-Time Graduation Rate,4 yr rate,    70.93%
2015,71,Pittsylvania County,On-Time Graduation Rate,4 yr rate,    91.10%
2015,142,Poquoson City,On-Time Graduation Rate,4 yr rate,    94.82%
2015,121,Portsmouth City,On-Time Graduation Rate,4 yr rate,    86.99%
2015,72,Powhatan County,On-Time Graduation Rate,4 yr rate,    92.92%
2015,73,Prince Edward County,On-Time Graduation Rate,4 yr rate,    85.71%
2015,74,Prince George County,On-Time Graduation Rate,4 yr rate,    85.15%
2015,75,Prince William County,On-Time Graduation Rate,4 yr rate,    91.42%
2015,77,Pulaski County,On-Time Graduation Rate,4 yr rate,    90.18%
2015,122,Radford City,On-Time Graduation Rate,4 yr rate,    96.69%
2015,78,Rappahannock County,On-Time Graduation Rate,4 yr rate,    94.52%
2015,123,Richmond City,On-Time Graduation Rate,4 yr rate,    81.34%
2015,79,Richmond County,On-Time Graduation Rate,4 yr rate,    92.68%
2015,124,Roanoke City,On-Time Graduation Rate,4 yr rate,    85.60%
2015,80,Roanoke County,On-Time Graduation Rate,4 yr rate,    94.63%
2015,81,Rockbridge County,On-Time Graduation Rate,4 yr rate,    92.43%
2015,82,Rockingham County,On-Time Graduation Rate,4 yr rate,    91.23%
2015,83,Russell County,On-Time Graduation Rate,4 yr rate,    94.06%
2015,139,Salem City,On-Time Graduation Rate,4 yr rate,    94.20%
2015,84,Scott County,On-Time Graduation Rate,4 yr rate,    94.42%
2015,85,Shenandoah County,On-Time Graduation Rate,4 yr rate,    95.89%
2015,86,Smyth County,On-Time Graduation Rate,4 yr rate,    93.31%
2015,87,Southampton County,On-Time Graduation Rate,4 yr rate,    88.66%
2015,88,Spotsylvania County,On-Time Graduation Rate,4 yr rate,    90.24%
2015,89,Stafford County,On-Time Graduation Rate,4 yr rate,    92.50%
2015,126,Staunton City,On-Time Graduation Rate,4 yr rate,    91.01%
2015,127,Suffolk City,On-Time Graduation Rate,4 yr rate,    86.16%
2015,90,Surry County,On-Time Graduation Rate,4 yr rate,    88.46%
2015,91,Sussex County,On-Time Graduation Rate,4 yr rate,    89.16%
2015,92,Tazewell County,On-Time Graduation Rate,4 yr rate,    84.21%
2015,128,Virginia Beach City,On-Time Graduation Rate,4 yr rate,    89.79%
2015,93,Warren County,On-Time Graduation Rate,4 yr rate,    92.65%
2015,94,Washington County,On-Time Graduation Rate,4 yr rate,    94.99%
2015,130,Waynesboro City,On-Time Graduation Rate,4 yr rate,    79.74%
2015,207,West Point,On-Time Graduation Rate,4 yr rate,    98.44%
2015,95,Westmoreland County,On-Time Graduation Rate,4 yr rate,    88.43%
2015,131,Williamsburg-James City County,On-Time Graduation Rate,4 yr rate,    90.93%
2015,132,Winchester City,On-Time Graduation Rate,4 yr rate,    92.71%
2015,96,Wise County,On-Time Graduation Rate,4 yr rate,    91.78%
2015,97,Wythe County,On-Time Graduation Rate,4 yr rate,    90.51%
2015,98,York County,On-Time Graduation Rate,4 yr rate,    94.55%
2016,1,Accomack County,On-Time Graduation Rate,4 yr rate,    88.64%
2016,2,Albemarle County,On-Time Graduation Rate,4 yr rate,    95.20%
2016,101,Alexandria City,On-Time Graduation Rate,4 yr rate,    82.40%
2016,3,Alleghany County,On-Time Graduation Rate,4 yr rate,    92.92%
2016,4,Amelia County,On-Time Graduation Rate,4 yr rate,    96.79%
2016,5,Amherst County,On-Time Graduation Rate,4 yr rate,    91.04%
2016,6,Appomattox County,On-Time Graduation Rate,4 yr rate,    92.35%
2016,7,Arlington County,On-Time Graduation Rate,4 yr rate,    91.10%
2016,8,Augusta County,On-Time Graduation Rate,4 yr rate,    92.15%
2016,9,Bath County,On-Time Graduation Rate,4 yr rate,    93.75%
2016,10,Bedford County,On-Time Graduation Rate,4 yr rate,    92.94%
2016,11,Bland County,On-Time Graduation Rate,4 yr rate,    90.77%
2016,12,Botetourt County,On-Time Graduation Rate,4 yr rate,    95.52%
2016,102,Bristol City,On-Time Graduation Rate,4 yr rate,    89.66%
2016,13,Brunswick County,On-Time Graduation Rate,4 yr rate,    82.47%
2016,14,Buchanan County,On-Time Graduation Rate,4 yr rate,    86.02%
2016,15,Buckingham County,On-Time Graduation Rate,4 yr rate,    91.03%
2016,103,Buena Vista City,On-Time Graduation Rate,4 yr rate,    79.22%
2016,16,Campbell County,On-Time Graduation Rate,4 yr rate,    89.95%
2016,17,Caroline County,On-Time Graduation Rate,4 yr rate,    88.46%
2016,18,Carroll County,On-Time Graduation Rate,4 yr rate,    92.36%
2016,19,Charles City County,On-Time Graduation Rate,4 yr rate,    98.44%
2016,20,Charlotte County,On-Time Graduation Rate,4 yr rate,    90.58%
2016,104,Charlottesville City,On-Time Graduation Rate,4 yr rate,    89.42%
2016,136,Chesapeake City,On-Time Graduation Rate,4 yr rate,    93.41%
2016,21,Chesterfield County,On-Time Graduation Rate,4 yr rate,    90.88%
2016,22,Clarke County,On-Time Graduation Rate,4 yr rate,    97.54%
2016,202,Colonial Beach,On-Time Graduation Rate,4 yr rate,    95.24%
2016,106,Colonial Heights City,On-Time Graduation Rate,4 yr rate,    93.42%
2016,107,Covington City,On-Time Graduation Rate,4 yr rate,    79.69%
2016,23,Craig County,On-Time Graduation Rate,4 yr rate,    95.65%
2016,24,Culpeper County,On-Time Graduation Rate,4 yr rate,    92.73%
2016,25,Cumberland County,On-Time Graduation Rate,4 yr rate,    91.35%
2016,108,Danville City,On-Time Graduation Rate,4 yr rate,    81.01%
2016,26,Dickenson County,On-Time Graduation Rate,4 yr rate,    90.40%
2016,27,Dinwiddie County,On-Time Graduation Rate,4 yr rate,    87.46%
2016,28,Essex County,On-Time Graduation Rate,4 yr rate,    86.86%
2016,29,Fairfax County,On-Time Graduation Rate,4 yr rate,    92.30%
2016,109,Falls Church City,On-Time Graduation Rate,4 yr rate,    99.47%
2016,30,Fauquier County,On-Time Graduation Rate,4 yr rate,    95.22%
2016,31,Floyd County,On-Time Graduation Rate,4 yr rate,    92.68%
2016,32,Fluvanna County,On-Time Graduation Rate,4 yr rate,    94.37%
2016,135,Franklin City,On-Time Graduation Rate,4 yr rate,    88.89%
2016,33,Franklin County,On-Time Graduation Rate,4 yr rate,    91.59%
2016,34,Frederick County,On-Time Graduation Rate,4 yr rate,    93.47%
2016,110,Fredericksburg City,On-Time Graduation Rate,4 yr rate,    88.65%
2016,111,Galax City,On-Time Graduation Rate,4 yr rate,    86.36%
2016,35,Giles County,On-Time Graduation Rate,4 yr rate,    85.13%
2016,36,Gloucester County,On-Time Graduation Rate,4 yr rate,    90.54%
2016,37,Goochland County,On-Time Graduation Rate,4 yr rate,    97.13%
2016,38,Grayson County,On-Time Graduation Rate,4 yr rate,    90.58%
2016,39,Greene County,On-Time Graduation Rate,4 yr rate,    93.26%
2016,40,Greensville County,On-Time Graduation Rate,4 yr rate,    85.39%
2016,41,Halifax County,On-Time Graduation Rate,4 yr rate,    93.35%
2016,112,Hampton City,On-Time Graduation Rate,4 yr rate,    90.54%
2016,42,Hanover County,On-Time Graduation Rate,4 yr rate,    95.36%
2016,113,Harrisonburg City,On-Time Graduation Rate,4 yr rate,    89.37%
2016,43,Henrico County,On-Time Graduation Rate,4 yr rate,    91.04%
2016,44,Henry County,On-Time Graduation Rate,4 yr rate,    91.34%
2016,45,Highland County,On-Time Graduation Rate,4 yr rate,   100.00%
2016,114,Hopewell City,On-Time Graduation Rate,4 yr rate,    85.14%
2016,46,Isle of Wight County,On-Time Graduation Rate,4 yr rate,    92.71%
2016,48,King George County,On-Time Graduation Rate,4 yr rate,    94.84%
2016,50,King William County,On-Time Graduation Rate,4 yr rate,    89.14%
